timestamp,gpu_index,utilization_pct,memory_used_mb,memory_total_mb,power_draw_w,sm_clock_mhz
1776342806.5150237,0,100.0,70795.25,81920.0,295.911,1380
1776342806.6151478,0,100.0,70795.25,81920.0,296.222,1380
1776342806.7153,0,100.0,70795.25,81920.0,292.337,1380
1776342806.8154676,0,100.0,70795.25,81920.0,302.468,1380
1776342806.9158254,0,100.0,70795.25,81920.0,293.675,1380
1776342807.0161395,0,100.0,70795.25,81920.0,295.622,1380
1776342807.116347,0,100.0,70795.25,81920.0,302.159,1395
1776342807.2165215,0,100.0,70795.25,81920.0,303.919,1395
1776342807.3166902,0,100.0,70795.25,81920.0,300.825,1395
1776342807.4169054,0,100.0,70795.25,81920.0,302.948,1395
1776342807.5170724,0,100.0,70795.25,81920.0,299.89,1395
1776342807.6172178,0,100.0,70795.25,81920.0,298.142,1380
